Number,Title,Latitude,Longitude,Section,Description,Lot
61,HAT_MES_0061,37.97535788,23.72410121,"American Section, Agora Excavations ",House before demolition,645
62,HAT_MES_0062,37.97531008,23.7240461,"American Section, Agora Excavations ",House before demolition,645/1
63,HAT_MES_0063,37.97506134,23.72452757,"American Section, Agora Excavations ",House before demolition,645/1
64,HAT_MES_0064,37.97507994,23.72445674,"American Section, Agora Excavations ",House before demolition,645/1
65,HAT_MES_0065,37.97497108,23.72421204,"American Section, Agora Excavations ",House before demolition,645
66,HAT_MES_0066,37.97474028,23.72407202,"American Section, Agora Excavations ",House before demolition,645/1
67,HAT_MES_0067,37.9755494,23.7243697,"American Section, Agora Excavations ",House before demolition,645Δ/6
68,HAT_MES_0068,37.97464974,23.7246785,"American Section, Agora Excavations ",[Agora/Plaka area],
69,HAT_MES_0069,37.97288667,23.72443967,"American Section, Agora Excavations ",House before demolition,649/6+7a
70,HAT_MES_0070,37.97315113,23.72353412,"American Section, Agora Excavations ",House before demolition,641/11M
71,HAT_MES_0071,37.97304819,23.72477546,"American Section, Agora Excavations ",House before demolition,648/7
72,HAT_MES_0072,37.9738749,23.72462087,"American Section, Agora Excavations ",House before demolition,647/8
73,HAT_MES_0073,37.97409691,23.72444536,"American Section, Agora Excavations ",House before demolition,647/1
74,HAT_MES_0074,37.97465574,23.72290365,"American Section, Agora Excavations ",[Plaka area],636/29
75,HAT_MES_0075,37.97299643,23.72148156,"American Section, Agora Excavations ",[view of Hephaisteion from Acropolis North Slope],632-3
76,HAT_MES_0076,37.97297607,23.72153596,"General View, Agora Excavations",[view of city toward Lykavitos],
77,HAT_MES_0077,37.97517554,23.72142588,"American Section, Agora Excavations ",[Plaka and part of Hadrian’s Library],631γ/9
78,HAT_MES_0078,37.97556215,23.72145566,"American Section, Agora Excavations ",[view of Plaka/Psyri from porch of Hephaisteion],
79,HAT_MES_0079,37.97550402,23.721448,Agora Excavation Area,[view of Plaka and Acropolis from porch of Hephaisteion],
80,HAT_MES_0080,37.97294505,23.72146781,American Agora Excavation Area,[view of Agora from north slope of Acropolis,
82,HAT_MES_0082,37.97419254,23.72382799,"American Section, Agora Excavations ",[church in the Agora?],
83,HAT_MES_0083,37.97337794,23.72456097,"American Section, Agora Excavations ",[street in Plaka],641
84,HAT_MES_0084,37.97300377,23.72408056,"American Section, Agora Excavations ",[street in Plaka with people],648/4?
85,HAT_MES_0085,37.97341589,23.72296216,"American Section, Agora Excavations ",[street in Plaka with boy],634
86,HAT_MES_0086,37.97389944,23.72362476,"American Section, Agora Excavations ",[house in Plaka],640
87,HAT_MES_0087,37.97406154,23.72278789,"American Section, Agora Excavations ",[street in Plaka],638
88,HAT_MES_0088,37.97396162,23.72185905,"American Section, Agora Excavations ",[street in Plaka with kapheneion],635
90,HAT_MES_0090,37.97387815,23.72135362,"American Section, Agora Excavations ",[Plaka streets with people],634
